wavelength,mean_reflectance,median_reflectance,std_reflectance,p25_reflectance,p75_reflectance,n_valid
350,0.0635494981515264,0.04506427477848605,0.049723333088275756,0.033676863798600395,0.06612908183961738,22
351,0.06342416916839545,0.0454118288238653,0.0500200672707989,0.032305858306750486,0.0658095737604735,22
352,0.06606647153326986,0.0476093677125886,0.04987665670643247,0.0312467907174546,0.066190342018836,21
353,0.06660353265811507,0.0480097448315875,0.05026026162949895,0.0357891766491759,0.066190342018836,21
354,0.06371718970356482,0.046373841234563895,0.050886350270628516,0.032126517420217875,0.06548261319592652,22
355,0.06363354378038162,0.04648691246232965,0.05128013470200586,0.0312411391922616,0.06517956077262138,22
356,0.06370819734467001,0.0466699878991678,0.05155501564845386,0.0312411391922616,0.06515278633461255,22
357,0.06640274715939831,0.0479875659543052,0.05184518977232818,0.0315186688209592,0.0649594932441046,21
358,0.06670231166099501,0.0479875659543052,0.05251138656685282,0.0315186688209592,0.0649594932441046,21
359,0.06693605949130749,0.0481549165796115,0.052913042134616055,0.0315186688209592,0.0649594932441046,21
360,0.06476871058317123,0.04732762448115595,0.05357865663099907,0.0294713673698854,0.06498102598646013,22
361,0.06537719076158777,0.0474854071570842,0.054051958874885946,0.03071533807914395,0.06489751252154613,22
362,0.06582693896960522,0.047780634199782596,0.05494902457162433,0.032171639474199924,0.06482688553021243,22
363,0.06620606411383154,0.0473462553713195,0.05574178450292095,0.03217344809178302,0.06454341035021757,22
364,0.06629696460779898,0.04657549611730215,0.05618431329987553,0.030881796264958523,0.06431571096422864,22
365,0.06659565777938176,0.0465925543226622,0.0570543430872276,0.03092829970588535,0.06430364989486055,22
366,0.06700398999731777,0.0465925543226622,0.05766880748010515,0.03015102126099305,0.06430364989486055,22
367,0.06731490321515411,0.046724103415697105,0.058200415434706256,0.030255618587790925,0.06455450233840662,22
368,0.06787384689890684,0.047276184967342844,0.0586042131297029,0.03132365368975195,0.06493562461018737,22
369,0.06838493619032616,0.04771395482636695,0.05918789491634978,0.031666898687147546,0.06496061308657962,22
370,0.06894678192944342,0.0483115056383895,0.05975730205061505,0.032650809369271776,0.06525774670515094,22
371,0.06938408660281056,0.04857967372774695,0.06045777709494251,0.032876713348454975,0.06534766248902465,22
372,0.0699199447977241,0.04857967372774695,0.061154747808710885,0.03367576644163288,0.06503299757862573,22
373,0.07024025226136976,0.048862259653432105,0.061666709071868345,0.03367576644163288,0.06503299757862573,22
374,0.0704997545435386,0.0490250584279,0.06209127907967762,0.03367576644163288,0.06536136350446342,22
375,0.07054678127685464,0.049058792938821205,0.06281408138414742,0.030886002950782622,0.06532574444030533,22
376,0.07098120557703563,0.04952001362936555,0.06355164388016121,0.030936498950681672,0.06486477080552971,22
377,0.07136741563385814,0.04970810025415145,0.06412593013337803,0.03105557920986075,0.06479595129702603,22
378,0.07193571689357016,0.0502243548789341,0.06469713405447802,0.03216252486008043,0.06492048589382207,22
379,0.07242376665488622,0.0502975067270501,0.06535011956490837,0.032838365447541554,0.06503406005066553,22
380,0.07301212367904829,0.05111710458682105,0.06579404631493126,0.034073336029901126,0.06511696570898598,22
381,0.07341545646017184,0.05132102676774765,0.0662177403929148,0.03403599639330255,0.06511696570898598,22
382,0.0736842513664252,0.05136936572595175,0.06672319975854944,0.03376510997930522,0.06523712169356445,22
383,0.07399519853742284,0.0514372385655644,0.06731689579092694,0.03376510997930522,0.06532914738466737,22
384,0.07450576420203037,0.05159949299089555,0.06788837583580588,0.034745234277706524,0.06533593509513322,22
385,0.0753966653935117,0.0522266524252903,0.06839949616868538,0.036238349855847674,0.0658905526080429,22
386,0.07622550081641513,0.053118946778235296,0.06897963852764229,0.03741357191483985,0.06634834135627288,22
387,0.0767595641568454,0.053172881396213456,0.06952271471104948,0.038040094506541174,0.06634834135627288,22
388,0.07729260635749902,0.0538452201957279,0.07009388550019112,0.03899865381280102,0.06625662983595426,22
389,0.07747429215203358,0.05396674525920085,0.07065035354831063,0.03890807400749928,0.06610145837568432,22
390,0.07775141944229233,0.0541936800807194,0.07113591601284255,0.03887290766247015,0.0656875067007299,22
391,0.0783869436897618,0.05476181768987495,0.07130679014612745,0.03907964089260525,0.0656875067007299,22
392,0.07872498676641687,0.054961144770388104,0.07169427029645868,0.0396219854388097,0.06572846675129355,22
393,0.07928146754186076,0.05532001575046025,0.07197941908326783,0.041144736897590926,0.0660347812794861,22
394,0.08003551739132943,0.055825144630512955,0.0721141396511393,0.04182373076865983,0.0660347812794861,22
395,0.08054765262892831,0.056125675207363154,0.07238753755326852,0.041923333538072344,0.06604483330247485,22
396,0.08114048577314141,0.0563620843809418,0.07275968173075899,0.042084322775910926,0.06569834000103537,22
397,0.08159955888779019,0.0566423367905272,0.07321881257052028,0.042308379346012906,0.06569834000103537,22
398,0.08201132958708958,0.0570063064375704,0.07359742963519575,0.042308379346012906,0.06571447273928818,22
399,0.08261933258310693,0.057553630939969555,0.07385581596683082,0.042389817279088554,0.06616956833283708,22
400,0.08325120296818024,0.058187452651863494,0.0740201473500016,0.0421902648691199,0.06622645575867414,22
401,0.08390922525198076,0.05948043262423385,0.07412160841853782,0.0421902648691199,0.06626587032225892,22
402,0.08454969050755491,0.0609352091517814,0.07429694459454216,0.042159282732296424,0.06664192008631438,22
403,0.08503285961821369,0.06126179320315685,0.07446667136742935,0.0422822535356704,0.0668259333529036,22
404,0.08552484501879287,0.061474400255441805,0.07471047351991966,0.04227328508113557,0.06750125152799037,22
405,0.08608419847006046,0.06176803834634985,0.07490305665235675,0.0424708216538515,0.06926211327248205,22
406,0.08680749539761319,0.0617037611861809,0.07498107998604463,0.042668555027034476,0.07127154461253406,22
407,0.08725516682099264,0.062147844829236146,0.07535776596280111,0.0426029975920229,0.07329782415497092,22
408,0.08776962658948041,0.06296814613053431,0.07566936729671073,0.042503687134703,0.07532910934942012,22
