Wavelength	000017.asd
350	 6.34775871827032E-02 
351	 6.34813676003898E-02 
352	 6.31026193819011E-02 
353	 6.41908853438827E-02 
354	 6.40936194194892E-02 
355	 6.33594267271981E-02 
356	 6.27208966896995E-02 
357	 6.27186263969934E-02 
358	 6.32523289751628E-02 
359	 6.28538538680875E-02 
360	 6.18189237570595E-02 
361	 6.31879077277435E-02 
362	 0.063349501969468 
363	 6.25713459027527E-02 
364	 0.061909832069737 
365	 6.19816585064584E-02 
366	 6.21133184156819E-02 
367	 6.21888055518509E-02 
368	 6.22119450298546E-02 
369	 6.16042131270916E-02 
370	 6.15953189088231E-02 
371	 6.22292066241835E-02 
372	 6.25840630623408E-02 
373	 6.15440659119159E-02 
374	 6.09885238672626E-02 
375	 6.16383272071656E-02 
376	 6.23232768421451E-02 
377	 6.18724031043733E-02 
378	 6.10168352009215E-02 
379	 6.07707387536322E-02 
380	 6.18381562769821E-02 
381	 6.19190926785839E-02 
382	 6.10770238523164E-02 
383	 6.03817415924913E-02 
384	 6.07361441066022E-02 
385	 0.061684251384913 
386	 6.22441388999999E-02 
387	 6.15010099256472E-02 
388	 6.15286093793929E-02 
389	 6.22029071757007E-02 
390	 6.27453354559457E-02 
391	 0.062016030110288 
392	 6.17997734339423E-02 
393	 6.16775486905849E-02 
394	 6.13327573730744E-02 
395	 0.061725535830085 
396	 6.22535138511608E-02 
397	 6.20335681641873E-02 
398	 6.08869013016273E-02 
399	 6.14055982916865E-02 
400	 6.19078132389467E-02 
401	 6.20075307579594E-02 
402	 6.21390035226923E-02 
403	 6.19019655570326E-02 
404	 6.16980644755003E-02 
405	 0.061634541800804 
406	 6.13480066406661E-02 
407	 6.12605274719399E-02 
408	 6.10903855947838E-02 
409	 6.06571115928762E-02 
410	 6.04599005973211E-02 
411	 6.03630366506799E-02 
412	 6.02449460918443E-02 
413	 6.00389662477958E-02 
414	 5.99810868176151E-02 
415	 5.98163981205164E-02 
416	 5.95707538616801E-02 
417	 5.95129266955373E-02 
418	 5.93343608892284E-02 
419	 5.91680227628442E-02 
420	 5.90934545293269E-02 
421	 0.058963628937718 
422	 0.058845385192683 
423	 5.87666891417369E-02 
424	 5.87278835537953E-02 
425	 5.86990456533321E-02 
426	 5.84219786050642E-02 
427	 5.81107201566843E-02 
428	 5.81948733485859E-02 
429	 5.79292237244171E-02 
430	 5.76808978250223E-02 
431	 0.057609474671745 
432	 5.74148375969078E-02 
433	 5.74844553249335E-02 
434	 5.74793972705943E-02 
435	 5.71521930814532E-02 
436	 5.69540909986345E-02 
437	 5.67254279846134E-02 
438	 5.65778348306062E-02 
439	 5.66815751615855E-02 
440	 5.67317775561196E-02 
441	 5.67825031102077E-02 
442	 5.69224086114862E-02 
443	 5.72322745370868E-02 
444	 5.73726797472324E-02 
445	 5.76261608537825E-02 
446	 5.81422689475232E-02 
447	 0.058447652148952 
448	 5.84944507215923E-02 
449	 5.85786854523742E-02 
450	 5.90360994381705E-02 
451	 0.05945080300978 
452	 5.97981185048896E-02 
453	 6.00318454665836E-02 
454	 6.00766128230422E-02 
455	 6.04551816413572E-02 
456	 6.08387407925894E-02 
457	 6.09173842259899E-02 
458	 6.08643240824235E-02 
459	 6.07662441171123E-02 
460	 6.07696114262192E-02 
461	 6.09665249730447E-02 
462	 6.10695191077531E-02 
463	 6.10297065438607E-02 
464	 6.09442085542874E-02 
465	 6.10281788538406E-02 
466	 6.10576457341594E-02 
467	 6.09110924100771E-02 
468	 6.06639819008308E-02 
469	 6.08483715371672E-02 
470	 6.09243245346716E-02 
471	 0.060814094476844 
472	 6.06469123301142E-02 
473	 6.04862771860227E-02 
474	 6.04735615572786E-02 
475	 6.05388783788769E-02 
476	 6.04077041482106E-02 
477	 6.04519104503839E-02 
478	 6.04210176357011E-02 
479	 6.01361503256705E-02 
480	 5.98870806051897E-02 
481	 5.99526072117049E-02 
482	 6.00903353173081E-02 
483	 5.99141217166781E-02 
484	 5.99481736793105E-02 
485	 6.00263233768553E-02 
486	 6.00012620418198E-02 
487	 5.98321963093391E-02 
488	 5.98008882968557E-02 
489	 5.97966723454191E-02 
490	 5.97437519699215E-02 
491	 5.99471724197543E-02 
492	 6.00601452730675E-02 
493	 6.00243045040308E-02 
494	 5.99668857529976E-02 
495	 6.02086003197067E-02 
496	 6.03749158702925E-02 
497	 6.03360955517052E-02 
498	 0.060363388333041 
499	 6.04692453939462E-02 
500	 6.07239218756227E-02 
501	 6.10604491160243E-02 
502	 6.09120082082542E-02 
503	 6.09374812639272E-02 
504	 6.12822685797275E-02 
505	 6.17095072446257E-02 
506	 6.18024793949091E-02 
507	 6.18576009791951E-02 
508	 6.20803569217948E-02 
509	 6.24143235007826E-02 
510	 6.23855537566731E-02 
511	 6.23136568571909E-02 
512	 6.25961673681637E-02 
513	 6.29482699662874E-02 
514	 6.31818239223567E-02 
515	 6.33281529148224E-02 
516	 6.35762629919471E-02 
517	 6.37174588890551E-02 
518	 6.38989166148621E-02 
519	 6.41580135138899E-02 
520	 6.41849484573012E-02 
521	 6.45482551520282E-02 
522	 6.49566968708128E-02 
523	 6.49834789030658E-02 
524	 6.50506364047199E-02 
525	 6.51640973804276E-02 
526	 6.53884369756126E-02 
527	 6.58390069470519E-02 
528	 6.60136264864346E-02 
529	 6.61390820031178E-02 
530	 6.64274145629492E-02 
531	 6.66577226624358E-02 
532	 0.067064021087659 
533	 0.067543441502847 
534	 6.78529074435846E-02 
535	 6.80401170585192E-02 
536	 6.82680944028589E-02 
537	 6.86228808906898E-02 
538	 6.90761284180412E-02 
539	 6.93926119421058E-02 
540	 0.069664182038286 
541	 7.00238885672666E-02 
542	 7.03795337770082E-02 
543	 7.07852805208361E-02 
544	 7.12261122428871E-02 
545	 7.16394990465122E-02 
546	 7.19429107050355E-02 
547	 7.24059925898878E-02 
548	 7.30564180077302E-02 
549	 7.33860197053006E-02 
550	 7.37553483304584E-02 
551	 7.41637171570861E-02 
552	 7.45190369896401E-02 
553	 0.074863437989352 
554	 7.54121274435676E-02 
555	 7.60605456191692E-02 
556	 7.64142175528293E-02 
557	 7.67048935461454E-02 
558	 7.72005190224559E-02 
559	 7.79202105665621E-02 
560	 0.078195592421834 
561	 7.86069802090672E-02 
562	 7.90786449663909E-02 
563	 7.93004616848633E-02 
564	 0.079731465037893 
565	 8.01043112173915E-02 
566	 0.080366477253716 
567	 8.08790339602054E-02 
568	 8.12851059348293E-02 
569	 8.15929532386662E-02 
570	 8.18870596614058E-02 
571	 8.21162191429726E-02 
572	 8.23515647985443E-02 
573	 8.26108223566078E-02 
574	 8.28717100954213E-02 
575	 0.083191116622277 
576	 8.33888906152594E-02 
577	 0.083437328768035 
578	 8.37477764967371E-02 
579	 8.39161061015131E-02 
580	 8.39941876740102E-02 
581	 8.41822045293025E-02 
582	 8.44213445607953E-02 
583	 0.084629970339801 
584	 0.084739851877428 
585	 8.47033770061469E-02 
586	 8.47950710167235E-02 
587	 8.49815606896277E-02 
588	 8.51945639664368E-02 
589	 8.55597814851548E-02 
590	 8.56957331144257E-02 
591	 8.55648820849131E-02 
592	 8.54339750124572E-02 
593	 8.57281701515689E-02 
594	 8.60282053000082E-02 
595	 8.60645357590638E-02 
596	 0.085988993719111 
597	 8.60115459439989E-02 
598	 8.60913828172148E-02 
599	 8.61226511378722E-02 
600	 8.61431526698019E-02 
601	 8.60783366865275E-02 
602	 8.59694409145698E-02 
603	 8.59530585238821E-02 
604	 8.58656219420027E-02 
605	 8.56454092650084E-02 
606	 8.53573782570243E-02 
607	 8.53543274667913E-02 
608	 8.53609566751986E-02 
609	 8.52181923278923E-02 
610	 8.48682291255043E-02 
611	 8.45450811419422E-02 
612	 8.43586870551353E-02 
613	 8.42375425808467E-02 
614	 8.38838095337571E-02 
615	 8.36301290051563E-02 
616	 8.34304355091583E-02 
617	 8.31745316620934E-02 
618	 8.29144021760941E-02 
619	 0.082667707962028 
620	 8.24705781608729E-02 
621	 0.082371206239196 
622	 0.082323549008522 
623	 8.22888257194767E-02 
624	 8.21856719333158E-02 
625	 8.17969818562983E-02 
626	 0.081638572563804 
627	 8.17311414503947E-02 
628	 8.18249831423267E-02 
629	 8.14065605475844E-02 
630	 8.13152143785667E-02 
631	 8.16439618935619E-02 
632	 8.15798500075909E-02 
633	 8.14696391431075E-02 
634	 8.14217243144047E-02 
635	 8.14697756145284E-02 
636	 0.081565386024942 
637	 8.17012945412475E-02 
638	 8.17524658381266E-02 
639	 8.16000422903219E-02 
640	 8.17971016502771E-02 
641	 8.19666566262156E-02 
642	 8.19236850988287E-02 
643	 8.19889585652253E-02 
644	 8.21930749056466E-02 
645	 0.082248623652797 
646	 8.19446315362591E-02 
647	 8.20453712149908E-02 
648	 8.20623909436633E-02 
649	 8.19349499072872E-02 
650	 8.19975542736694E-02 
651	 8.16873967683523E-02 
652	 0.081528081873969 
653	 8.17486092109626E-02 
654	 8.14886281559548E-02 
655	 8.11253239614374E-02 
656	 8.06536226420049E-02 
657	 8.00738234805034E-02 
658	 7.97796880204902E-02 
659	 7.93985099887577E-02 
660	 7.88084524360116E-02 
661	 7.82287244031852E-02 
662	 7.77317946405545E-02 
663	 7.69884802460904E-02 
664	 7.58719543680588E-02 
665	 7.51244796853801E-02 
666	 7.46458584622461E-02 
667	 0.074149566350371 
668	 7.33231240151312E-02 
669	 7.26528297799565E-02 
670	 7.22488609948413E-02 
671	 7.20110915208131E-02 
672	 7.15814521030912E-02 
673	 0.071219835497653 
674	 7.09794284790864E-02 
675	 7.08358525853311E-02 
676	 7.06879293649769E-02 
