Wavelength	000022.asd
350	 5.95696241165728E-03 
351	 9.28677337611814E-03 
352	-2.23487757279106E-03 
353	-3.54457708141637E-03 
354	 1.52886900582495E-03 
355	 5.55476883076559E-03 
356	 4.55206660908714E-03 
357	-1.39067980262114E-03 
358	-1.24546618576817E-02 
359	-1.00998911973273E-02 
360	 5.45685012955596E-03 
361	 4.25809615765031E-03 
362	 2.26384100321658E-03 
363	 1.71786434479624E-03 
364	 1.93375260290759E-03 
365	 2.14053233489581E-03 
366	 5.05584004217982E-03 
367	 7.70899015449254E-03 
368	 6.78913676270581E-03 
369	 8.21757523043004E-03 
370	 8.09207755362112E-03 
371	 7.86754469042884E-03 
372	 1.17325634864905E-02 
373	 1.06629303203881E-02 
374	 9.0901123909827E-03 
375	 9.93341363428694E-03 
376	 1.19665079572148E-02 
377	 7.19184802068294E-03 
378	 4.50379039625848E-03 
379	 9.37250276995798E-03 
380	 9.42365432449351E-03 
381	 8.55005158195361E-03 
382	 7.99440351915737E-03 
383	 8.21720377732879E-03 
384	 8.89552408323866E-03 
385	 1.28897646005764E-02 
386	 1.73141634496629E-02 
387	 1.64768441080783E-02 
388	 1.47727551063194E-02 
389	 1.64774526831659E-02 
390	 1.86850088214584E-02 
391	 1.09757235852935E-02 
392	 1.30380148514388E-02 
393	 1.62769961435233E-02 
394	 1.40329293433891E-02 
395	 0.017705550121486 
396	 1.79583353910416E-02 
397	 1.69310771430264E-02 
398	 1.87173058185798E-02 
399	 2.05737212255904E-02 
400	 2.33530968895768E-02 
401	 2.66136522312853E-02 
402	 2.89464391589522E-02 
403	 2.81173967547014E-02 
404	 2.77524479664013E-02 
405	 0.030006304093382 
406	 3.43504704752028E-02 
407	 3.49744945725161E-02 
408	 0.034263779021367 
409	 3.56871971405621E-02 
410	 4.05566707357156E-02 
411	 4.27537122706927E-02 
412	 4.45512263340618E-02 
413	 5.00025549009758E-02 
414	 5.21367552774847E-02 
415	 5.41641246419037E-02 
416	 5.68799199554699E-02 
417	 5.86189286047703E-02 
418	 6.27410361749145E-02 
419	 6.57505494389415E-02 
420	 6.59688421426987E-02 
421	 6.67461124068183E-02 
422	 7.09280044929736E-02 
423	 7.56796308955779E-02 
424	 0.077458046805049 
425	 7.75645162476714E-02 
426	 7.87133510563843E-02 
427	 8.18060052434473E-02 
428	 8.59002146361045E-02 
429	 8.65190945036128E-02 
430	 8.80887526019482E-02 
431	 9.15852452733111E-02 
432	 0.092091896668744 
433	 9.32225364471228E-02 
434	 9.49385739947781E-02 
435	 9.62320421644098E-02 
436	 9.55097744141054E-02 
437	 9.59219548644733E-02 
438	 9.77349113712828E-02 
439	 9.95952038906002E-02 
440	 9.99862522046761E-02 
441	 9.97682200377881E-02 
442	 9.98725964155992E-02 
443	 0.10097120508153 
444	 0.100620836350751 
445	 9.99888935519968E-02 
446	 0.100350643212612 
447	 0.101489321169657 
448	 0.101830063718861 
449	 0.101458066398509 
450	 0.101140165953805 
451	 0.100670501657642 
452	 0.100755215069539 
453	 0.101232967171093 
454	 0.10101916070651 
455	 0.100289961021425 
456	 9.94641050040429E-02 
457	 9.89712594379493E-02 
458	 9.93630063525961E-02 
459	 9.76855891525656E-02 
460	 9.57967147547705E-02 
461	 9.66580745924924E-02 
462	 9.69876797641582E-02 
463	 9.55105874007092E-02 
464	 9.31933197907761E-02 
465	 9.30155930432812E-02 
466	 0.092416763981324 
467	 9.15976601057616E-02 
468	 0.091022280853483 
469	 9.04759107286599E-02 
470	 8.96738550810764E-02 
471	 8.80178026444947E-02 
472	 8.54056445869251E-02 
473	 8.51632806028551E-02 
474	 8.49577272472409E-02 
475	 8.38548776231636E-02 
476	 8.28340705652804E-02 
477	 8.22866284742197E-02 
478	 8.10584350522651E-02 
479	 7.88546746140533E-02 
480	 7.85168837885352E-02 
481	 7.77837677287584E-02 
482	 7.63075250677686E-02 
483	 7.47302156545015E-02 
484	 7.42286734728725E-02 
485	 0.073165264075673 
486	 7.11412778952669E-02 
487	 6.96283469736175E-02 
488	 6.99186211088074E-02 
489	 7.00529553757409E-02 
490	 6.84868121233435E-02 
491	 6.66769125560033E-02 
492	 0.066443951059521 
493	 6.68563147591942E-02 
494	 6.57932453220141E-02 
495	 0.063890850946678 
496	 6.29115559466042E-02 
497	 6.25939274967309E-02 
498	 5.99712179356934E-02 
499	 5.93679402120775E-02 
500	 6.00845549999969E-02 
501	 6.01165316862252E-02 
502	 5.77018521322287E-02 
503	 5.65728829421111E-02 
504	 5.66964839893257E-02 
505	 5.58547547436045E-02 
506	 5.54914663858872E-02 
507	 5.52496891090827E-02 
508	 0.05478942121071 
509	 5.40693124083254E-02 
510	 5.39311290290469E-02 
511	 5.35926604517717E-02 
512	 5.24528827111705E-02 
513	 5.25843742080012E-02 
514	 5.29901847907722E-02 
515	 5.28918475897722E-02 
516	 5.19016768462298E-02 
517	 5.18657206245376E-02 
518	 5.19669706161147E-02 
519	 5.15354364313057E-02 
520	 5.11047005274345E-02 
521	 5.03152238793168E-02 
522	 4.98378254819951E-02 
523	 5.01691732744632E-02 
524	 4.91327037241592E-02 
525	 4.87217489139962E-02 
526	 4.94042019220187E-02 
527	 4.99137970663168E-02 
528	 0.049870935316916 
529	 4.93919056302639E-02 
530	 4.88855932937046E-02 
531	 4.91020392505522E-02 
532	 4.95215306951027E-02 
533	 5.02414618489993E-02 
534	 5.12273822246912E-02 
535	 4.93549461879419E-02 
536	 4.88857690657373E-02 
537	 0.050528005449823 
538	 0.049567613100447 
539	 4.96491845869694E-02 
540	 5.02627811754712E-02 
541	 5.02549747919467E-02 
542	 5.03005957666045E-02 
543	 5.00637949044739E-02 
544	 5.01389002959564E-02 
545	 5.14408345527199E-02 
546	 5.13100991597029E-02 
547	 5.12037231501428E-02 
548	 0.052071953947586 
549	 0.052937780287217 
550	 5.31736943176631E-02 
551	 5.35119247022217E-02 
