Wavelength	000002.asd
350	 2.70552678607529E-02 
351	 2.80830126827864E-02 
352	 2.98453119419898E-02 
353	 2.80986371212055E-02 
354	 2.88411319480145E-02 
355	 2.76471277014998E-02 
356	 2.51526335790314E-02 
357	 2.69435116789507E-02 
358	 2.86674601837068E-02 
359	 2.88909983413097E-02 
360	 2.78535410189675E-02 
361	 0.027379992609327 
362	 2.85611506136757E-02 
363	 2.89251218502873E-02 
364	 2.73527643552045E-02 
365	 2.82681281772327E-02 
366	 2.84126613381979E-02 
367	 2.79987683380601E-02 
368	 0.028227057380563 
369	 2.83874606424535E-02 
370	 2.89358495257415E-02 
371	 2.91579026552616E-02 
372	 2.79497247382055E-02 
373	 2.86839925392415E-02 
374	 2.91091979810115E-02 
375	 2.86213765958646E-02 
376	 2.94319882258002E-02 
377	 2.87806192710824E-02 
378	 2.84175326028297E-02 
379	 2.96690008459284E-02 
380	 3.05707995379911E-02 
381	 2.99613825141701E-02 
382	 2.88519203245847E-02 
383	 2.87448077380311E-02 
384	 2.88987370118368E-02 
385	 2.93225296962175E-02 
386	 2.94725052057988E-02 
387	 0.02875971595706 
388	 2.92866855894166E-02 
389	 2.96881550080504E-02 
390	 2.93359091343931E-02 
391	 2.89749586540386E-02 
392	 0.029223996656419 
393	 3.00606144057452E-02 
394	 3.08683531762644E-02 
395	 3.00372970596593E-02 
396	 2.99923261338979E-02 
397	 3.05420816561827E-02 
398	 3.07557971393428E-02 
399	 3.03385058647886E-02 
400	 3.02154067680976E-02 
401	 3.03314695944207E-02 
402	 3.01449858016748E-02 
403	 3.05320793513548E-02 
404	 3.10049620056852E-02 
405	 3.12103215575692E-02 
406	 3.11563217814424E-02 
407	 3.09119960571938E-02 
408	 3.09656615411669E-02 
409	 3.14126805915066E-02 
410	 3.10313533086287E-02 
411	 3.11309776242952E-02 
412	 0.031357453782939 
413	 3.09664635496884E-02 
414	 0.031135070536241 
415	 3.13001984793709E-02 
416	 3.13361045397882E-02 
417	 3.15543162032219E-02 
418	 3.13972049320626E-02 
419	 0.031276214897467 
420	 3.14196661564426E-02 
421	 3.14124391642901E-02 
422	 3.18030247518384E-02 
423	 3.21408078829775E-02 
424	 3.19111674816844E-02 
425	 3.15406571842828E-02 
426	 3.14220990314016E-02 
427	 3.16185426720138E-02 
428	 3.18799825122982E-02 
429	 3.14049453873954E-02 
430	 3.11770154725069E-02 
431	 3.15434417708046E-02 
432	 3.17107207205205E-02 
433	 3.17637496313085E-02 
434	 3.17743105141229E-02 
435	 3.17818719629137E-02 
436	 3.16573011704693E-02 
437	 3.18323813656116E-02 
438	 0.032039518114203 
439	 3.18170876038671E-02 
440	 3.18192811374338E-02 
441	 3.18720396458227E-02 
442	 3.19020779226111E-02 
443	 3.20195751637273E-02 
444	 3.21049857955842E-02 
445	 0.032127648578987 
446	 3.21110845613689E-02 
447	 3.21631096282405E-02 
448	 3.21851649163454E-02 
449	 3.22063058748696E-02 
450	 3.22903366390671E-02 
451	 3.23643740278041E-02 
452	 3.24593505537041E-02 
453	 3.25164337009763E-02 
454	 3.24015313413507E-02 
455	 3.27815538205873E-02 
