Wavelength	000007.asd
350	 6.69353695091134E-02 
351	 6.73479724575286E-02 
352	 0.066190342018836 
353	 0.065447528360208 
354	 6.57862721210958E-02 
355	 6.64815497080024E-02 
356	 6.62901934298275E-02 
357	 6.40634074399166E-02 
358	 6.40904051877205E-02 
359	 6.49594932441046E-02 
360	 0.065578732072699 
361	 6.67603503239871E-02 
362	 6.62012103302192E-02 
363	 6.52007651660392E-02 
364	 6.50337603879201E-02 
365	 6.46958508160489E-02 
366	 6.48097664446039E-02 
367	 6.53682303126482E-02 
368	 6.60245792693822E-02 
369	 6.61444669812138E-02 
370	 6.56284011112871E-02 
371	 6.53352942719997E-02 
372	 6.63844032265187E-02 
373	 6.62817243360977E-02 
374	 6.57113476344554E-02 
375	 6.56195882897838E-02 
376	 6.66918150885086E-02 
377	 6.63180552500026E-02 
378	 6.55467265292417E-02 
379	 6.55524353707171E-02 
380	 6.57856344188452E-02 
381	 6.60425881525318E-02 
382	 6.59296509773138E-02 
383	 6.53978063545558E-02 
384	 6.59833245212171E-02 
385	 6.67061181569586E-02 
386	 6.72109175089785E-02 
387	 6.75850619004343E-02 
388	 6.74039376105281E-02 
389	 6.70655020803376E-02 
390	 6.65135665137317E-02 
391	 6.51379679167072E-02 
392	 6.61169835652845E-02 
393	 6.75771025004405E-02 
394	 6.76444549666666E-02 
395	 6.68331363860955E-02 
396	 6.59177550723132E-02 
397	 6.56404502575954E-02 
398	 0.066274895518786 
399	 6.68776159082886E-02 
400	 6.69620215083786E-02 
401	 6.69315234771668E-02 
402	 6.75099051920294E-02 
403	 6.74596759363295E-02 
404	 6.74129766056349E-02 
405	 6.76089850103956E-02 
406	 0.067544980362193 
407	 6.74834556692793E-02 
408	 6.73173650019243E-02 
409	 6.71192231796056E-02 
410	 6.77018417865509E-02 
411	 6.79509292072038E-02 
412	 6.79024178875194E-02 
413	 6.79935731204817E-02 
414	 0.067934810553608 
415	 6.78579030194659E-02 
416	 6.79733276745659E-02 
417	 6.84500492815848E-02 
418	 6.81365703916143E-02 
419	 6.77011184490593E-02 
420	 6.76504742124558E-02 
421	 6.76077210941797E-02 
422	 6.81875083507204E-02 
423	 6.85567536808375E-02 
424	 6.80268011424678E-02 
425	 0.068225381420659 
426	 6.83554720387768E-02 
427	 6.84871827691344E-02 
428	 6.91272378361329E-02 
429	 6.88570195360923E-02 
430	 6.85404544788855E-02 
431	 0.068750361702498 
432	 6.92768204933532E-02 
433	 6.91429709454103E-02 
434	 6.88874708849754E-02 
435	 6.91071241940161E-02 
436	 6.95877523567917E-02 
437	 0.069585038116205 
438	 0.069330965475553 
439	 6.94320701081908E-02 
440	 6.95070120704265E-02 
441	 6.96052084333912E-02 
442	 6.96996161082794E-02 
443	 6.96543358313961E-02 
444	 6.97253828451969E-02 
445	 6.98544523902082E-02 
446	 6.99499723628093E-02 
447	 0.069998529225208 
448	 7.01457805660491E-02 
449	 7.02612860155797E-02 
450	 7.01863323240964E-02 
451	 0.070373844996286 
452	 7.03455985574166E-02 
453	 7.01522139608061E-02 
454	 7.04262857049684E-02 
455	 7.05404902918947E-02 
456	 0.070514450159563 
457	 0.070477544349685 
458	 7.04840203576735E-02 
459	 0.070568416699502 
460	 7.07193410618448E-02 
461	 7.08797365732721E-02 
462	 7.08995803360008E-02 
463	 7.08460788976037E-02 
464	 7.07841117604809E-02 
465	 7.07576965987347E-02 
466	 7.08008189965679E-02 
467	 7.08541090410553E-02 
468	 7.08724546520208E-02 
469	 7.09248301152433E-02 
470	 7.07014705736244E-02 
471	 7.05662054708027E-02 
472	 0.070941615221729 
473	 7.07705318700339E-02 
474	 0.070676544157059 
475	 7.08475885758621E-02 
476	 7.08988201829151E-02 
477	 7.09035627454811E-02 
478	 7.08512372744064E-02 
479	 7.07716580362819E-02 
480	 7.08047946190881E-02 
481	 7.10358709788373E-02 
482	 7.12694573583279E-02 
483	 7.12273322748327E-02 
484	 7.10744677351919E-02 
485	 7.09580742572397E-02 
486	 7.10518788520422E-02 
487	 7.15195492556723E-02 
488	 7.14303342016478E-02 
489	 7.10334434127038E-02 
490	 7.08156658005616E-02 
491	 0.071107251227228 
492	 7.14101879849283E-02 
493	 7.15569400185142E-02 
494	 7.15726403989281E-02 
495	 7.15568265131633E-02 
496	 7.15393116816832E-02 
497	 7.16121405024793E-02 
498	 7.19568068409805E-02 
499	 7.20360366885775E-02 
500	 7.18909994482827E-02 
501	 7.17665413396708E-02 
502	 7.20081373877599E-02 
503	 7.23079215124079E-02 
504	 7.23868359528289E-02 
505	 7.20935709862497E-02 
506	 7.20573372991533E-02 
507	 7.21100446954894E-02 
508	 7.22055508535486E-02 
509	 0.072655990394945 
510	 7.27494707012624E-02 
511	 7.26091128937082E-02 
512	 7.26048738429281E-02 
513	 7.30467196181554E-02 
514	 7.31752678151552E-02 
515	 7.29326018865692E-02 
516	 7.28474587232899E-02 
517	 7.30375544819765E-02 
518	 7.32778738180704E-02 
519	 7.34044936651327E-02 
520	 7.35163581476952E-02 
521	 7.36332192568251E-02 
522	 7.36818694327383E-02 
523	 7.36210384258855E-02 
524	 0.073740596730276 
525	 7.38863989569834E-02 
526	 7.40038115408757E-02 
527	 7.41577085867659E-02 
528	 7.43590161377726E-02 
529	 7.43561464382621E-02 
530	 7.41500303603416E-02 
531	 7.44987376981665E-02 
532	 7.46540035794027E-02 
533	 0.074635336642855 
534	 7.47829331833577E-02 
535	 7.48796356514641E-02 
536	 7.49372639577493E-02 
537	 7.50323176242783E-02 
538	 0.075301584056033 
539	 7.54050786919114E-02 
540	 7.54005838768124E-02 
541	 7.54194807992452E-02 
542	 7.53957001721674E-02 
543	 7.55225475661558E-02 
544	 7.58380232817028E-02 
545	 7.62313596070756E-02 
546	 7.62268252039006E-02 
547	 7.61140401929603E-02 
548	 0.076137688101187 
549	 7.62526416639829E-02 
550	 7.64080495330431E-02 
551	 7.65852167346343E-02 
552	 0.076742458561817 
553	 7.66358657489456E-02 
554	 7.66915877797899E-02 
555	 7.69387894790382E-02 
556	 7.70097918048044E-02 
557	 7.71022475577609E-02 
558	 7.72071045775299E-02 
559	 7.73048162475193E-02 
560	 7.74665761094818E-02 
561	 7.75560710212984E-02 
562	 7.75145123125758E-02 
563	 7.73750935419768E-02 
564	 7.75263857229741E-02 
565	 7.76670721984418E-02 
566	 0.077630828342132 
567	 0.077537755649786 
568	 7.76975850012598E-02 
569	 7.78505937637346E-02 
570	 0.077705998285766 
571	 0.07757529293661 
572	 7.77468872508661E-02 
573	 7.80938924785297E-02 
574	 7.81905126160949E-02 
575	 7.80883317784763E-02 
576	 7.80209798104491E-02 
577	 7.81105024132509E-02 
578	 7.81730241317445E-02 
579	 7.80686254106326E-02 
580	 7.79369884304214E-02 
581	 7.79906520335906E-02 
582	 7.81163530994255E-02 
583	 7.80849424662476E-02 
584	 7.79245048562257E-02 
585	 7.79672678691514E-02 
586	 7.82802664912825E-02 
587	 7.84271829900212E-02 
588	 7.81155286255028E-02 
589	 7.81241446973752E-02 
590	 7.81506329729507E-02 
591	 7.81515072344939E-02 
592	 7.82364131558192E-02 
593	 7.82073757180964E-02 
594	 0.078214427835373 
595	 7.82859691344973E-02 
596	 7.81701871949074E-02 
597	 7.81810002973616E-02 
598	 7.82089836138711E-02 
599	 7.81058521204249E-02 
600	 7.81849307878794E-02 
601	 7.80914858977415E-02 
602	 0.077845639616343 
603	 7.78074375676363E-02 
604	 7.77237450906351E-02 
605	 7.76579233408837E-02 
606	 0.077662519405363 
607	 7.76120433907783E-02 
608	 7.76354311037217E-02 
609	 7.76709960913877E-02 
610	 7.76083044994943E-02 
611	 7.77663079048054E-02 
612	 7.76768710000635E-02 
613	 0.077311884185292 
614	 7.73516505848566E-02 
615	 7.75535373444959E-02 
616	 7.76276586418505E-02 
617	 7.73843299121713E-02 
618	 7.70639939095578E-02 
619	 7.70594831049556E-02 
620	 7.72841329968007E-02 
621	 7.73176410393559E-02 
622	 7.73133457523017E-02 
623	 7.72141154811389E-02 
624	 7.70922339073959E-02 
625	 0.077415919470184 
626	 7.73433344256743E-02 
627	 7.71636428407764E-02 
628	 7.74229847054794E-02 
629	 7.71310428522805E-02 
630	 7.69127928354491E-02 
631	 7.69792840742861E-02 
632	 7.69641717320917E-02 
633	 7.68010951251026E-02 
634	 7.67846078019247E-02 
635	 0.077078914377832 
636	 7.72237956682221E-02 
637	 7.72220937198947E-02 
638	 7.71189161899447E-02 
639	 7.70099747368564E-02 
640	 7.71014310442635E-02 
641	 7.72338258559197E-02 
642	 7.72569173059405E-02 
643	 7.71071519382582E-02 
644	 7.72931457905104E-02 
645	 7.73466608184713E-02 
646	 7.68320550112257E-02 
647	 7.71492237178323E-02 
648	 7.75188272972515E-02 
649	 0.077569771485451 
650	 7.74485999738001E-02 
651	 7.71861714293122E-02 
652	 7.70975003991278E-02 
653	 7.72905835076814E-02 
654	 7.73429570067689E-02 
655	 7.71343991495492E-02 
656	 0.076780544264733 
657	 7.66110456524316E-02 
658	 7.68207887747463E-02 
659	 7.68421698350201E-02 
660	 7.66062278926901E-02 
661	 7.65822663939041E-02 
662	 7.66264826877399E-02 
663	 7.65124936156063E-02 
664	 0.076175187402862 
665	 7.61429628308474E-02 
666	 7.59676956912825E-02 
667	 7.58788335369163E-02 
668	 7.63633809576122E-02 
669	 7.64530906795271E-02 
670	 7.60702089579182E-02 
671	 7.56232513475431E-02 
672	 7.61519562645987E-02 
673	 7.61730060468348E-02 
674	 7.57930392426022E-02 
675	 7.55787402807212E-02 
676	 7.58195242668904E-02 
677	 0.075977203191921 
678	 7.58651977375785E-02 
679	 7.56413783101205E-02 
680	 7.57946056848503E-02 
681	 7.58248331391322E-02 
682	 7.55425233818126E-02 
683	 0.075764104064368 
684	 7.61502563726417E-02 
685	 7.64258014614144E-02 
686	 0.076451681808584 
687	 7.68768751283811E-02 
688	 0.077019325980615 
689	 7.67020440693767E-02 
690	 7.64912524400333E-02 
691	 7.74995049714247E-02 
692	 7.82852501897585E-02 
693	 7.79604870028314E-02 
694	 7.86587880782308E-02 
695	 7.88732689910167E-02 
696	 7.87474558500766E-02 
697	 7.90321215354477E-02 
698	 7.95738959167459E-02 
699	 7.95800080328205E-02 
700	 7.92182821027557E-02 
701	 8.00622835198347E-02 
702	 8.06720415906922E-02 
703	 8.07526777314129E-02 
704	 8.05814073239735E-02 
705	 8.11649731656539E-02 
706	 8.13664769156159E-02 
707	 8.12088126339142E-02 
708	 8.13240999350036E-02 
709	 8.17116250138195E-02 
710	 8.18849866332839E-02 
711	 8.18180420502445E-02 
712	 8.21773577541695E-02 
713	 8.24587945524735E-02 
714	 8.26978678333332E-02 
715	 8.29656054977626E-02 
716	 8.27778001312876E-02 
717	 8.32682883169904E-02 
718	 8.43740968275667E-02 
719	 8.45101793210597E-02 
720	 8.46014450149004E-02 
721	 8.50044068732576E-02 
722	 8.53859318135769E-02 
723	 8.46718337669668E-02 
724	 8.47647715052503E-02 
725	 8.53745126218773E-02 
726	 8.55489284674774E-02 
727	 8.54870866705794E-02 
728	 8.57092600184777E-02 
729	 8.61831689033777E-02 
730	 8.65310438693488E-02 
731	 8.68741465408592E-02 
732	 8.69460700478512E-02 
733	 8.68732799845953E-02 
734	 8.72199270855378E-02 
735	 8.73421372721548E-02 
736	 8.72782582778576E-02 
737	 8.73047772345236E-02 
738	 8.79141830755584E-02 
739	 8.82776720744096E-02 
740	 8.82057952541109E-02 
741	 8.79919333559606E-02 
742	 8.83394884365775E-02 
743	 8.86597433618514E-02 
744	 8.86866829366184E-02 
745	 8.88088516154686E-02 
746	 0.088966228026722 
747	 8.90121089966599E-02 
748	 8.89279909588238E-02 
749	 8.92456516886513E-02 
750	 8.94814707152016E-02 
751	 8.95195848498841E-02 
752	 8.94980489144999E-02 
753	 8.95177872054317E-02 
754	 8.97624259147823E-02 
755	 9.00786904211575E-02 
756	 8.98723346210596E-02 
757	 8.98071856537668E-02 
758	 8.98859097947271E-02 
759	 8.99861310747202E-02 
760	 9.00790203404669E-02 
761	 8.98464694373299E-02 
762	 8.98170474610449E-02 
763	 9.05839914545076E-02 
764	 9.07655852592587E-02 
765	 9.04570766312345E-02 
766	 9.02098677061764E-02 
767	 9.05631446865947E-02 
768	 9.05731210452368E-02 
769	 9.04649635397014E-02 
770	 9.04648417653019E-02 
771	 9.05109736222022E-02 
772	 0.090537373530254 
773	 9.05150143592457E-02 
774	 9.04953956149173E-02 
775	 9.08761993987682E-02 
776	 9.09314997706566E-02 
777	 9.06777968860375E-02 
778	 9.07860215910907E-02 
779	 9.10804104718737E-02 
780	 0.091170616624831 
781	 9.09912215418522E-02 
782	 9.11156600643536E-02 
783	 9.12720038636081E-02 
784	 9.11644347532544E-02 
785	 9.07454218466106E-02 
786	 9.09310020153677E-02 
787	 9.12946805401864E-02 
788	 9.15043984874383E-02 
789	 9.13568807983796E-02 
790	 9.10835728783393E-02 
791	 9.11971097862335E-02 
792	 9.15362468251524E-02 
793	 9.11821556005722E-02 
794	 9.10400290611825E-02 
795	 0.09119517891262 
796	 9.14813615014704E-02 
797	 9.15364449572571E-02 
798	 9.15323603064284E-02 
799	 9.14650424329903E-02 
800	 9.13431742905069E-02 
801	 9.15202143642417E-02 
802	 9.17499169435795E-02 
803	 9.17045117189133E-02 
804	 9.12041944658393E-02 
805	 9.15505354742968E-02 
806	 9.17225798879781E-02 
807	 9.14667499528766E-02 
808	 9.19238448595357E-02 
809	 0.091826467470608 
810	 9.17816892413927E-02 
811	 9.22530589008191E-02 
812	 9.15292715801156E-02 
813	 9.13374044090119E-02 
814	 9.19237023988816E-02 
815	 9.25443112719468E-02 
816	 9.21497036260102E-02 
817	 9.21689558985061E-02 
818	 9.25453543777932E-02 
819	 9.21782044209133E-02 
820	 9.21754680822609E-02 
821	 9.20055069955703E-02 
822	 9.16580598615315E-02 
823	 9.19925375405912E-02 
824	 9.19793161994308E-02 
825	 9.19652135864268E-02 
826	 9.21912432861504E-02 
827	 0.092052402911522 
828	 9.18429753880377E-02 
829	 9.16711953549808E-02 
830	 9.15938039605996E-02 
831	 9.15885071729888E-02 
832	 9.23439790468175E-02 
833	 0.093039101371997 
834	 9.24226667908722E-02 
835	 9.22898979740524E-02 
836	 9.24215318154769E-02 
837	 0.092363775874167 
838	 9.17220552894393E-02 
839	 9.18076355339687E-02 
840	 9.22293143870057E-02 
841	 9.24535442558894E-02 
842	 9.22073267029015E-02 
843	 9.20668820677028E-02 
844	 9.19967378298791E-02 
845	 0.091965891424878 
846	 9.25164036575246E-02 
847	 9.24307294584725E-02 
848	 9.21002345303853E-02 
849	 9.23197911187417E-02 
850	 9.23830533209835E-02 
851	 9.23893827260808E-02 
852	 9.23330721595375E-02 
853	 9.21629788618315E-02 
854	 9.20889914606982E-02 
855	 9.20490772363235E-02 
856	 9.22490006164207E-02 
857	 0.09300765732992 
858	 9.25733483519461E-02 
859	 9.21158590677261E-02 
860	 9.22761469975551E-02 
861	 9.22507803847571E-02 
862	 9.24568306174393E-02 
863	 9.26286809776164E-02 
864	 9.24449341745616E-02 
865	 9.17654001240502E-02 
866	 9.16861364061711E-02 
867	 9.20793847703198E-02 
868	 9.23908175122497E-02 
869	 9.22855584486178E-02 
870	 9.26450455340156E-02 
871	 9.26941905621121E-02 
872	 9.16135180555857E-02 
873	 9.22958347776967E-02 
874	 9.25622286524076E-02 
875	 9.24206584300354E-02 
876	 9.31630643004605E-02 
877	 9.27474919564353E-02 
878	 9.25602670012504E-02 
879	 9.29305986960197E-02 
880	 9.29489307949239E-02 
881	 9.31764309210014E-02 
882	 9.25594926948339E-02 
883	 0.091542594035523 
884	 9.24803324738482E-02 
885	 9.22548483044115E-02 
886	 9.17150888967306E-02 
887	 9.18370692355376E-02 
888	 9.24192403020866E-02 
889	 9.25858729168811E-02 
890	 9.23649065311867E-02 
891	 9.21898224688116E-02 
892	 9.28971508462846E-02 
893	 9.25310165968431E-02 
894	 9.17281600693516E-02 
895	 0.091759451904918 
896	 9.19672769984068E-02 
897	 9.29416781395548E-02 
898	 9.28821220751837E-02 
899	 9.04882820412619E-02 
900	 9.09572892519847E-02 
901	 9.20349768615619E-02 
902	 9.22084331047596E-02 
903	 9.11147043314241E-02 
904	 9.06864283831374E-02 
905	 9.16515453452825E-02 
906	 9.26643160121065E-02 
907	 9.18253735305042E-02 
908	 0.091621176357871 
909	 9.30408834451437E-02 
910	 9.45004090613504E-02 
911	 0.093277859273416 
912	 0.093319473646523 
913	 9.35084442124019E-02 
914	 9.27154834722537E-02 
915	 9.07975833637607E-02 
916	 9.15359029922505E-02 
917	 9.34679970124658E-02 
918	 9.45279479398088E-02 
919	 9.33269895244432E-02 
920	 9.24316996686768E-02 
921	 9.13039604391633E-02 
922	 9.04966366715585E-02 
923	 9.15947739212208E-02 
924	 9.17357596737841E-02 
925	 9.13291927122006E-02 
926	 9.10970459000327E-02 
927	 9.13714448984839E-02 
928	 9.00388110062107E-02 
929	 8.77910347901879E-02 
930	 8.45993563221921E-02 
931	 7.81930936930057E-02 
932	 8.30056234249257E-02 
933	 8.76678604859765E-02 
934	 7.76164632258454E-02 
935	 6.15325609734065E-02 
936	 0.061562466476953 
937	 7.00116084178348E-02 
938	 7.56965457581573E-02 
939	 7.29160868693147E-02 
940	 8.32088259645883E-02 
941	 8.67622013007543E-02 
942	 0.07592616634682 
943	 6.36327393730984E-02 
944	 0.080011583718876 
945	 8.89746763898893E-02 
946	 7.70694833832476E-02 
947	 7.76977669011289E-02 
948	 7.57046298108228E-02 
949	 0.072851215398472 
950	 7.02424413946487E-02 
951	 6.71973885901383E-02 
952	 7.96851740215375E-02 
953	 8.60443944538504E-02 
954	 8.13757419391059E-02 
955	 8.07343068985241E-02 
956	 8.60560830697486E-02 
957	 8.70787509236349E-02 
958	 8.47598068928407E-02 
959	 8.75854625594673E-02 
960	 8.08386020566806E-02 
961	 7.93884155465753E-02 
962	 8.32712807940408E-02 
963	 8.29083068807712E-02 
964	 8.83075161679907E-02 
965	 8.87027629882127E-02 
966	 8.64252975168197E-02 
967	 8.88858207984378E-02 
968	 8.41065191400691E-02 
969	 8.38409498409615E-02 
970	 8.87943312376093E-02 
971	 9.24892064568328E-02 
972	 9.05458079528635E-02 
973	 8.76495718573007E-02 
974	 8.70571557475706E-02 
975	 8.92187696572677E-02 
976	 8.82020626177107E-02 
977	 8.99079115760127E-02 
978	 9.33005003750273E-02 
979	 9.35267092693811E-02 
980	 8.35062850155667E-02 
981	 0.085740399859715 
982	 0.09029649279103 
983	 8.64483053344073E-02 
984	 8.74723700889473E-02 
985	 9.04851976522209E-02 
986	 0.092289832204486 
987	 9.05986524369358E-02 
988	 8.55224875280948E-02 
989	 8.61565765212864E-02 
990	 8.71836691096368E-02 
991	 8.62305237634981E-02 
992	 8.91393860178544E-02 
993	 8.79682223677758E-02 
994	 8.61381411845163E-02 
995	 8.67616960534253E-02 
996	 0.089541410937819 
997	 8.84687054532571E-02 
998	 8.94240836010005E-02 
999	 9.15644319071378E-02 
1000	 8.94298047871254E-02 
1001	 9.55050443263616E-02 
1002	 9.59113040042462E-02 
1003	 9.65256532840016E-02 
1004	 9.67875342719219E-02 
1005	 9.59207527637435E-02 
1006	 9.57656791214744E-02 
1007	 9.50482440778896E-02 
1008	 9.41064086654072E-02 
1009	 9.30876355805165E-02 
1010	 9.30419061595451E-02 
1011	 9.11835355647762E-02 
1012	 9.42341546684273E-02 
1013	 9.58428108108637E-02 
1014	 9.49523481604111E-02 
1015	 0.095709251485937 
1016	 9.46461094413062E-02 
1017	 9.35037952120386E-02 
1018	 9.14230097091305E-02 
1019	 9.11310611117586E-02 
1020	 9.11702097705703E-02 
1021	 9.12939362962626E-02 
1022	 9.28186890501477E-02 
1023	 9.33637148251946E-02 
1024	 9.33696709564682E-02 
1025	 9.30063961227378E-02 
1026	 9.25713438334239E-02 
1027	 0.093282062796152 
1028	 9.37833437533851E-02 
