Wavelength	000011.asd
350	 1.84500802162526E-02 
351	 1.85355408747168E-02 
352	 1.75122596170787E-02 
353	 1.59181602736158E-02 
354	 1.73259398780595E-02 
355	 1.83346379588107E-02 
356	 1.80263224201531E-02 
357	 1.82436193902535E-02 
358	 0.016950765644367 
359	 1.62342176944107E-02 
360	 1.67004183811445E-02 
361	 1.59449368177762E-02 
362	 1.60384346733396E-02 
363	 1.68251629921119E-02 
364	 1.76544271518841E-02 
365	 1.80807000181356E-02 
366	 1.74216835907049E-02 
367	 1.65698579635454E-02 
368	 1.67781973212641E-02 
369	 1.79435029797675E-02 
370	 1.94265613871141E-02 
371	 2.02169855014955E-02 
372	 1.93661432210411E-02 
373	 1.79679970888292E-02 
374	 1.76507579164863E-02 
375	 1.86574081337197E-02 
376	 1.94757035534056E-02 
377	 1.88847857712792E-02 
378	 1.78528967480833E-02 
379	 1.77653853306882E-02 
380	 1.98964707428299E-02 
381	 2.07987685153291E-02 
382	 0.020819881461031 
383	 2.13285038220369E-02 
384	 2.11380657655386E-02 
385	 2.06792645246551E-02 
386	 2.01860443416588E-02 
387	 1.98414148685307E-02 
388	 2.07364703381696E-02 
389	 2.17090939746031E-02 
390	 2.22519380773359E-02 
391	 2.29450980672725E-02 
392	 2.34498928999387E-02 
393	 2.36674272114178E-02 
394	 2.38905021545831E-02 
395	 2.53407807266859E-02 
396	 2.51174467277775E-02 
397	 2.43286738849902E-02 
398	 2.47506121129251E-02 
399	 2.55204379143186E-02 
400	 2.64597518134586E-02 
401	 2.73668280511456E-02 
402	 2.80802798126464E-02 
403	 0.028880583473349 
404	 2.90700646626825E-02 
405	 2.89693306899224E-02 
406	 3.02568137217953E-02 
407	 3.07146521544499E-02 
408	 3.05187087759444E-02 
409	 3.04088407984943E-02 
410	 3.09634502545602E-02 
411	 0.032460733676097 
412	 3.36680474014702E-02 
413	 3.33543710393516E-02 
414	 3.38142018891119E-02 
415	 3.44261430799572E-02 
416	 0.034831454112424 
417	 3.50831249514882E-02 
418	 3.53905393389777E-02 
419	 3.57338464404938E-02 
420	 3.62757688994953E-02 
421	 3.76825654101452E-02 
422	 3.81521007561187E-02 
423	 3.79897458488175E-02 
424	 3.80390567576156E-02 
425	 3.83750071497776E-02 
